Catégorie d'impact,ExternalWood,BeamWood,Cinderblock,Concrete,Firedbrick,Glass,Glass wool,Gypsum,Hemp,Lath,Mortar,OSB,Paint,Plywood,Steel,WaterProofing,XPS
"Eutrophication, freshwater",12.00020152588446,123.00986420766094,123.00419935020324,123.00328918127026,123.00085780528822,123.01928161581733,13.00147394193645,123.01499217093217,153.76490611159142,153.83349018732676,153.75739518462117,5708.292382857537,171.63021250113732,167.73967227135356,167.5649105901049,167.5825704275218,167.62620257719385
"Eutrophication, marine",12.009530237691296,123.0465898315951,123.00634617451831,123.01524652288498,123.02477490434003,123.11801218728571,13.026266495116602,123.06628978693591,153.81575498550654,153.82055491881408,153.80537417249386,5719.875401934177,173.27980390888607,167.88395973649392,167.87181320079898,167.66426785766765,168.1608513788956
"Eutrophication, terrestrial",12.068525117550902,123.52558072051316,123.23764257628196,123.1744295371456,123.30550452886064,123.07175736078811,13.381462291592449,123.64862116253266,153.96288163469703,154.57618270595276,154.34936908048343,5786.306259826198,184.36438498696174,171.34575275140966,171.2235391212653,169.2842063386035,172.8346227474155
"Human toxicity, cancer",12.00000095956501,123.00000566660414,123.0000001914599,122.99999958172398,123.0000000560132,123.00000018809055,13.000000019291248,122.99999661963872,153.74999991178404,153.75000447159343,153.74999942663882,5707.499819936616,171.24879717170802,167.49999797675812,167.50000095898525,167.49999945696138,167.49999298585323
"Human toxicity, cancer - inorganics",11.999999502871917,123.00002835171237,122.99999962406982,123.00000001322633,122.9999996424434,122.99999808103018,12.999999958592644,123.00001855873774,153.74999993889534,153.75000037701673,153.75000004930686,5707.499767602572,171.25089738577338,167.50001821779318,167.49999675084666,167.50000287577575,167.50000085262332
"Human toxicity, cancer - organics",12.000000008645543,123.0000000152917,123.00000000294584,123.00000000248654,123.00000003952483,123.00000001419957,13.000000012473656,123.0000000120801,153.75000001171327,153.750000018581,153.75000000875306,5707.500022963789,171.25000031981412,167.50000090423734,167.5000014448478,167.50000002053739,167.50000005056427
"Human toxicity, non-cancer",12.000102133518874,123.00053827127009,122.99995609695225,123.0000337960456,122.99994181521399,122.99986838466431,12.999991688026709,122.99728463730987,153.74996712913307,153.74785030694179,153.75000766569406,5707.514568419537,171.48400664924213,167.50235922742536,167.5010988783631,167.49982646532462,167.50132330376584
"Human toxicity, non-cancer - inorganics",11.99975171179965,122.99923372065682,123.00000734560668,123.00000444276034,122.99994194393088,122.99881441837489,13.000003932149905,122.99399690329003,153.7499405477566,153.7500129039672,153.74991582465012,5707.401634892841,170.83578748377008,167.49816012099592,167.50019240576145,167.50057056449532,167.49999755626334
"Human toxicity, non-cancer - organics",12.00000000234289,123.00000000879753,123.0000000090226,123.00000000368684,123.00000001297187,123.00000009936457,13.00000001574616,123.00000003596448,153.75000000950476,153.75000001808957,153.75000001318085,5707.500027960698,171.25000069329812,167.50000005909564,167.50000016682924,167.50000019736305,167.5000005881283
Ionising radiation,12.593889632505341,122.4637106243325,123.34686031011084,123.10099399164841,124.41422440154187,126.16339985117192,13.12766707120403,124.33646388859589,154.10254732442039,157.74005057411324,154.30422747983263,5816.523575600712,169.94456624974225,168.33506393980988,180.97275940055357,174.03794934128808,171.37035232903656
